Date,Heure,T l'air à deux mètres du sol (°C),T ressentie au vent (°C),T du point de rosée (°C),Direction du vent (km/h),Vitesse du vent lors de la mesure (km/h),Vitesse moyenne du vent sur la dernière heure (km/h),Vitesse du vent maximum sur la dernière heure (km/h),Humidité relative (%),Pression atmosphérique ramenée au niveau de la mer (hPa),Visibilité (Km),Nebulosité (octa),Précipitations (mm/heure(s)),Conditions observées à la station
2025-01-Mer. 01,23:00,7.8,5,5.9,SSO,16.7,--,31.5,88,1014.4(-2.4/3h),15,8/8,0/1h,--
2025-01-Mer. 01,22:00,7.4,4.7,5.9,SO,14.8,--,29.6,90,1015.3(-1.8/3h),15,8/8,0/1h,--
2025-01-Mer. 01,21:00,7.2,4.2,5.7,SO,16.7,--,29.6,90,1015.9(-1.6/3h),20,8/8,0/3h,--
2025-01-Mer. 01,20:00,7.2,4.5,5.5,SSO,14.8,--,29.6,89,1016.8(-1.0/3h),20,8/8,0/1h,--
2025-01-Mer. 01,19:00,7.1,4.4,5.2,SSO,14.8,--,31.5,88,1017.1(-1.1/3h),20,8/8,0/1h,--
2025-01-Mer. 01,18:00,7.3,4.6,5.1,SSO,14.8,--,29.6,86,1017.5(-1.2/3h),20,8/8,0/3h0/12h,--
2025-01-Mer. 01,17:00,7.2,4.8,5.0,SSO,13.0,--,29.6,86,1017.8(-1.6/3h),20,8/8,0/1h,--
2025-01-Mer. 01,16:00,7.1,4.4,4.9,SSO,14.8,--,29.6,86,1018.3(-1.9/3h),20,8/8,0/1h,--
2025-01-Mer. 01,15:00,7.4,5,4.9,SO,13.0,--,25.9,84,1018.7(-2.5/3h),20,8/8,0/3h,--
2025-01-Mer. 01,14:00,7.2,4.8,4.8,SO,13.0,--,25.9,85,1019.5(-2.9/3h),20,8/8,0/1h,--
2025-01-Mer. 01,13:00,6.9,4.1,4.7,SO,14.8,--,29.6,86,1020.2(-2.3/3h),20,8/8,0/1h,--
2025-01-Mer. 01,12:00,6.2,3,4.7,SO,16.7,--,29.6,90,1021.3(-1.8/3h),10,8/8,0/3h0/6h,--
2025-01-Mer. 01,11:00,5.7,2.9,4.3,SSO,13.0,--,24.1,91,1022.5(-0.9/3h),10,8/8,0/1h,--
2025-01-Mer. 01,10:00,5.6,2.8,4.4,SSO,13.0,--,27.8,92,1022.6(-0.9/3h),10,8/8,0/1h,--
2025-01-Mer. 01,09:00,4.7,2.1,3.8,SSO,11.1,--,24.1,94,1023.2(-1.1/3h),11,8/8,0/3h,--
2025-01-Mer. 01,08:00,4.1,1.3,3.2,SSO,11.1,--,22.2,94,1023.4(-1.6/3h),10,8/8,0/1h,--
2025-01-Mer. 01,07:00,3.7,0.5,3.0,S,13.0,--,22.2,95,1023.6(-2.1/3h),8,8/8,0/1h,--
2025-01-Mer. 01,05:00,3.5,1.5,3.1,SSO,7.4,--,16.7,97,1025.1(-1.4/3h),6,8/8,0/1h,--
2025-01-Mer. 01,04:00,3.0,0.4,2.6,SSO,9.3,--,18.5,97,1025.7(-1.7/3h),3.9,8/8,0/1h,Du brouillard ou du brouillard glacé (plus correctement designé sous le nom de brume) est observé et la visibilité n'est ni inférieure à 5/8 de mille ni supérieure à 6 milles
2025-01-Mer. 01,03:00,3.0,0.4,2.6,SSO,9.3,--,16.7,97,1025.9(-1.9/3h),4.6,8/8,0/3h,Du brouillard ou du brouillard glacé (plus correctement designé sous le nom de brume) est observé et la visibilité n'est ni inférieure à 5/8 de mille ni supérieure à 6 milles
2025-01-Mer. 01,02:00,3.1,0.6,2.7,SSO,9.3,--,20.4,97,1026.5(-1.9/3h),2.7,8/8,0/1h,Du brouillard ou du brouillard glacé (plus correctement designé sous le nom de brume) est observé et la visibilité n'est ni inférieure à 5/8 de mille ni supérieure à 6 milles
2025-01-Mer. 01,01:00,3.6,0.7,3.2,SO,11.1,--,18.5,97,1027.4(-1.3/3h),10,8/8,0/1h,--
2025-01-Mer. 01,00:00,3.8,1,3.5,SSO,11.1,--,20.4,98,1027.8(-1.0/3h),3.6,8/8,0/3h0/6h,Du brouillard ou du brouillard glacé (plus correctement designé sous le nom de brume) est observé et la visibilité n'est ni inférieure à 5/8 de mille ni supérieure à 6 milles
2025-01-Jeu. 02,23:00,2.4,0.9,1.1,NNO,5.6,--,7.4,91,1024.1(2.1/3h),10,7/8,0/1h,--
2025-01-Jeu. 02,22:00,3.7,3.7,1.7,NO,3.7,--,9.3,87,1023.2(1.8/3h),10,5/8,0/1h,--
2025-01-Jeu. 02,21:00,4.1,4.1,2.3,NNO,3.7,--,7.4,88,1022.6(2.3/3h),10,7/8,trace/3h,Nuages se développant
2025-01-Jeu. 02,20:00,2.8,2.8,1.6,NNO,3.7,--,9.3,92,1022(2.3/3h),6,4/8,trace/1h,"Il y a eu une averse de pluie à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation"
2025-01-Jeu. 02,19:00,4.3,3.1,3.3,NNO,5.6,--,9.3,93,1021.3(2.6/3h),6,7/8,trace/1h,Il y a des averses de pluie faibles à la station au moment de l'observation
2025-01-Jeu. 02,18:00,4.3,4.3,3.3,N,3.7,--,11.1,93,1020.3(2.3/3h),10,8/8,0/3h8/12h,--
2025-01-Jeu. 02,17:00,4.7,3.5,4.0,NNO,5.6,--,9.3,95,1019.6(2.1/3h),11,8/8,0/1h,--
2025-01-Jeu. 02,16:00,4.7,2.9,3.8,NNO,7.4,--,13.0,94,1018.7(1.4/3h),10,8/8,0/1h,--
2025-01-Jeu. 02,15:00,4.5,4.5,3.9,NNO,3.7,--,5.6,96,1018(0.7/3h),14,8/8,0.4/3h,--
2025-01-Jeu. 02,14:00,4.3,4.3,3.9,O,3.7,--,5.6,97,1017.5(-0.1/3h),4.3,8/8,0.4/1h,Il y a de la bruine et pluie mêlées d'intensité faible à la station au moment de l'observation
2025-01-Jeu. 02,13:00,3.9,3.9,3.3,O,3.7,--,5.6,96,1017.3(0.0/3h),2.2,8/8,trace/1h,Il y a de la pluie faible et continue à la station au moment de l'observation
2025-01-Jeu. 02,12:00,3.8,3.8,2.9,O,3.7,--,5.6,94,1017.3(0.6/3h),19,8/8,0.7/3h8/6h,--
2025-01-Jeu. 02,11:00,3.3,3.3,2.4,O,3.7,--,7.4,94,1017.6(1.8/3h),24,8/8,trace/1h,--
2025-01-Jeu. 02,10:00,3.0,3.0,2.3,O,3.7,--,14.8,95,1017.3(2.4/3h),22,8/8,0.7/1h,Il y a de la pluie faible et continue à la station au moment de l'observation
2025-01-Jeu. 02,09:00,3.0,1.6,2.1,NO,5.6,--,9.3,94,1016.7(2.2/3h),10,8/8,7/3h,--
2025-01-Jeu. 02,08:00,4.1,2.8,3.4,NNO,5.6,--,9.3,95,1015.8(1.7/3h),8,8/8,2/1h,--
2025-01-Jeu. 02,07:00,4.6,3.4,3.7,NNO,5.6,--,9.3,94,1014.8(1.0/3h),5,8/8,3/1h,--
2025-01-Jeu. 02,06:00,4.9,4.9,4.5,NNO,3.7,--,11.1,97,1014.4(1.2/3h),3.8,8/8,7/3h10/12h10.3/24h,Il y a de la pluie modérée et continue à la station au moment de l'observation
2025-01-Jeu. 02,05:00,5.2,5.2,4.8,N,3.7,--,11.1,97,1014(1.4/3h),5,8/8,2/1h,Il y a de la pluie modérée et continue à la station au moment de l'observation
2025-01-Jeu. 02,04:00,5.5,3.9,4.9,N,7.4,--,11.1,96,1013.8(0.9/3h),4.4,8/8,3/1h,Il y a de la pluie modérée et continue à la station au moment de l'observation
2025-01-Jeu. 02,03:00,7.1,5.3,6.2,N,9.3,--,20.4,94,1013.1(-0.5/3h),2.8,8/8,3/3h,Il y a de la pluie modérée et continue à la station au moment de l'observation
2025-01-Jeu. 02,02:00,8.0,5.7,6.9,SO,13.0,--,29.6,93,1012.5(-1.9/3h),5,8/8,1/1h,Il y a de la pluie faible et continue à la station au moment de l'observation
2025-01-Jeu. 02,01:00,8.2,5.5,6.3,SO,16.7,--,35.2,88,1012.7(-2.5/3h),10,8/8,trace/1h,Il y a de la pluie faible et continue à la station au moment de l'observation
2025-01-Jeu. 02,00:00,8.0,5.2,6.0,SO,16.7,--,33.3,87,1013.6(-2.3/3h),15,8/8,0/3h0/6h,--
2025-01-Ven. 03,23:00,-2.2,-2.2,-2.6,SSO,1.9,--,3.7,97,1025.7(-0.3/3h),0.2,0/8,0/1h,Un banc de brouillard ou de brouillard glacé d'une épaisseur estimée à plus de 2m est observé à une certaine distance de la station. La visibilité semble être inférieure à 5/8 de mille à l'intérieur du brouillard
2025-01-Ven. 03,22:00,-2.1,-2.1,-2.5,S,1.9,--,3.7,97,1025.8(-0.3/3h),0.7,0/8,0/1h,"Il y a du brouillard ou du brouillard glacé à la station au moment de l'observation, la visibilité est inférieure à 5/8 de mille, le ciel est visible et le brouillard dépose du givre blanc"
2025-01-Ven. 03,21:00,-1.5,-1.5,-1.9,S,1.9,--,5.6,97,1025.9(0.1/3h),5,0/8,0/3h,--
2025-01-Ven. 03,20:00,-1.8,-1.8,-2.6,OSO,1.9,--,3.7,94,1026(0.5/3h),20,0/8,0/1h,--
2025-01-Ven. 03,19:00,-1.3,-1.3,-2.6,O,3.7,--,5.6,91,1026.1(1.0/3h),6,0/8,0/1h,--
2025-01-Ven. 03,18:00,-0.7,-0.7,-2.8,O,3.7,--,7.4,86,1025.8(0.9/3h),20,0/8,0/3h0/12h,--
2025-01-Ven. 03,17:00,0.3,0.3,-2.6,ONO,1.9,--,11.1,81,1025.4(0.6/3h),20,2/8,0/1h,--
2025-01-Ven. 03,16:00,2.0,2.0,-2.9,NO,3.7,--,11.1,70,1024.9(0.0/3h),20,2/8,0/1h,--
2025-01-Ven. 03,15:00,3.5,2.1,-2.5,NO,5.6,--,11.1,65,1024.7(-0.8/3h),20,2/8,0/3h,--
2025-01-Ven. 03,14:00,4.6,2.8,-1.0,N,7.4,--,13.0,67,1024.6(-1.3/3h),20,2/8,0/1h,--
2025-01-Ven. 03,13:00,4.9,3.7,-0.1,NO,5.6,--,11.1,70,1024.8(-1.2/3h),16,2/8,0/1h,--
2025-01-Ven. 03,12:00,4.0,4.0,--,OSO,3.7,--,7.4,--,1025.5(-0.2/3h),9,2/8,0/3h0/6h,Nuages se développant
2025-01-Ven. 03,11:00,2.5,2.5,-0.3,SO,3.7,--,5.6,82,1026(0.7/3h),15,1/8,0/1h,--
2025-01-Ven. 03,10:00,0.4,0.4,-0.6,SO,1.9,--,7.4,93,1026.2(1.2/3h),0.3,--,0/1h,"Il y a du brouillard ou du brouillard glacé à la station au moment de l'observation, la visibilité est inférieure à 5/8 de mille, le ciel est invisible et le brouillard n'a subi aucun changement d'intensité appréciable au cours de la dernière heure"
2025-01-Ven. 03,09:00,-0.6,-0.6,-1.2,SO,1.9,--,3.7,96,1025.9(1.1/3h),3.5,1/8,0/3h,"Il y a eu du brouillard ou du brouillard glacé, associé à une visibilité de moins de 5/8 de mille à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation"
2025-01-Ven. 03,08:00,-2.4,-2.4,-2.7,SO,1.9,--,5.6,98,1025.5(0.9/3h),1.2,1/8,0/1h,"Il y a eu du brouillard ou du brouillard glacé, associé à une visibilité de moins de 5/8 de mille à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation"
2025-01-Ven. 03,07:00,-2.2,-2.2,-2.6,OSO,3.7,--,5.6,97,1025.1(0.4/3h),0.2,0/8,0/1h,"Il y a du brouillard ou du brouillard glacé à la station au moment de l'observation, la visibilité est inférieure à 5/8 de mille, le ciel est visible mais le brouillard a commencé ou est devenu plus épais lors de la dernière heure"
2025-01-Ven. 03,06:00,-1.0,-1.0,-1.3,O,3.7,--,5.6,98,1024.8(0.1/3h),0.2,0/8,0/3htrace/12h8.1/24h,Une mince couche de brouillard ou de brouillard glacé en bancs est observé à la station. L'épaisseur du brouillard ne doit pas réduire la visibilité au niveau de l'oeil; le brouillard doit cependant avoir une densité telle que la visibilité apparente dans le brouillard soit inférieure à 5/8 de mille
2025-01-Ven. 03,05:00,-0.9,-0.9,-1.3,O,3.7,--,5.6,97,1024.6(0.0/3h),0.1,--,0/1h,"Il y a du brouillard ou du brouillard glacé à la station au moment de l'observation, la visibilité est inférieure à 5/8 de mille, le ciel est visible et le brouillard dépose du givre blanc"
2025-01-Ven. 03,04:00,-1.0,-1.0,-1.6,OSO,1.9,--,3.7,96,1024.7(0.3/3h),10,0/8,0/1h,--
2025-01-Ven. 03,03:00,-0.5,-0.5,-0.9,OSO,1.9,--,3.7,97,1024.6(0.3/3h),10,0/8,0/3h,--
2025-01-Ven. 03,02:00,-0.1,-0.1,-0.7,NNO,3.7,--,5.6,96,1024.5(0.3/3h),3.1,--,0/1h,Du brouillard ou du brouillard glacé (plus correctement designé sous le nom de brume) est observé et la visibilité n'est ni inférieure à 5/8 de mille ni supérieure à 6 milles
2025-01-Ven. 03,01:00,0.4,0.4,-0.3,NNO,3.7,--,9.3,95,1024.3(1.0/3h),10,--,0/1h,--
2025-01-Ven. 03,00:00,1.4,-0.3,0.2,NNO,5.6,--,7.4,92,1024.3(1.5/3h),8,--,0/3htrace/6h,--
2025-01-Sam. 04,23:00,0.9,-0.8,0.6,SE,5.6,--,11.1,98,1006.1(-3.5/3h),2.7,8/8,2/1h,Il y a de la pluie faible et continue à la station au moment de l'observation
2025-01-Sam. 04,22:00,0.7,-1.1,0.4,SE,5.6,--,11.1,98,1007.3(-3.6/3h),1.9,8/8,1/1h,Il y a de la pluie modérée et continue à la station au moment de l'observation
2025-01-Sam. 04,21:00,0.5,-1.3,0.1,ESE,5.6,--,11.1,97,1008.5(-3.3/3h),2.1,8/8,2/3h,Il y a de la pluie faible et continue à la station au moment de l'observation
2025-01-Sam. 04,20:00,0.4,-2.1,-0.3,ESE,7.4,--,13.0,95,1009.6(-3.1/3h),2.5,8/8,0.8/1h,Il y a de la pluie faible et continue à la station au moment de l'observation
2025-01-Sam. 04,19:00,0.4,-2.1,-0.6,ESE,7.4,--,13.0,93,1011(-2.8/3h),5,8/8,0.6/1h,Il y a de la pluie faible et continue à la station au moment de l'observation
2025-01-Sam. 04,18:00,0.5,-1.3,-1.3,E,5.6,--,9.3,88,1011.9(-2.5/3h),5,8/8,0.4/3h0.4/12h,Il y a de la pluie faible et continue à la station au moment de l'observation
2025-01-Sam. 04,17:00,0.8,-1.6,-1.9,ESE,7.4,--,13.0,82,1012.8(-2.3/3h),20,8/8,trace/1h,Il y a des granules de glace ( non sous forme d'averses ) à la station au moment de l'observation
2025-01-Sam. 04,16:00,0.8,-0.9,-2.4,E,5.6,--,13.0,79,1013.8(-2.9/3h),22,8/8,0/1h,--
2025-01-Sam. 04,15:00,1.0,-1.4,-3.5,ESE,7.4,--,14.8,72,1014.4(-3.6/3h),25,8/8,0/3h,--
2025-01-Sam. 04,14:00,1.4,-1.5,-3.3,ESE,9.3,--,14.8,71,1015.1(-4.0/3h),28,6/8,0/1h,--
2025-01-Sam. 04,13:00,1.9,-0.3,-2.8,ESE,7.4,--,13.0,71,1016.7(-3.4/3h),8,--,0/1h,--
2025-01-Sam. 04,12:00,1.4,-0.9,-2.2,ESE,7.4,--,16.7,77,1018(-3.0/3h),20,7/8,0/3h0/6h,Etat du ciel inchangé
2025-01-Sam. 04,11:00,-0.5,-2.4,-1.5,E,5.6,--,11.1,93,1019.2(-1.9/3h),16,7/8,0/1h,--
2025-01-Sam. 04,10:00,-1.6,-3.7,-2.0,ESE,5.6,--,9.3,97,1020.2(-1.5/3h),12,7/8,0/1h,Nuages se dissipant
2025-01-Sam. 04,09:00,-3.2,-3.2,-3.6,ENE,1.9,--,3.7,97,1021.2(-1.3/3h),0.9,7/8,0/3h,"Il y a des bancs de brouillard ou de brouillard glacé d'une épaisseur supérieure à 2m au moment de l'observation, et la visibilité dominante est réduite à moins de 5/8 de mille"
2025-01-Sam. 04,08:00,-3.8,-3.8,-4.2,E,1.9,--,3.7,97,1021.3(-1.6/3h),0.3,--,0/1h,"Il y a du brouillard ou du brouillard glacé à la station au moment de l'observation, la visibilité est inférieure à 5/8 de mille, le ciel est invisible et le brouillard dépose du givre blanc"
2025-01-Sam. 04,07:00,-4.1,-4.1,-4.5,E,1.9,--,3.7,97,1021.9(-1.7/3h),0.1,--,0/1h,"Il y a du brouillard ou du brouillard glacé à la station au moment de l'observation, la visibilité est inférieure à 5/8 de mille, le ciel est invisible et le brouillard dépose du givre blanc"
2025-01-Sam. 04,06:00,-3.9,-3.9,-4.2,ENE,1.9,--,5.6,98,1022.6(-1.2/3h),0.1,--,0/3h0/12h0/24h,"Il y a du brouillard ou du brouillard glacé à la station au moment de l'observation, la visibilité est inférieure à 5/8 de mille, le ciel est invisible et le brouillard dépose du givre blanc"
2025-01-Sam. 04,05:00,-4.4,-4.4,-4.8,E,1.9,--,3.7,97,1022.9(-1.5/3h),0.1,--,0/1h,"Il y a du brouillard ou du brouillard glacé à la station au moment de l'observation, la visibilité est inférieure à 5/8 de mille, le ciel est invisible et le brouillard dépose du givre blanc"
2025-01-Sam. 04,04:00,-4.2,-4.2,-4.6,SSE,1.9,--,5.6,97,1023.6(-1.4/3h),0.1,--,0/1h,"Il y a du brouillard ou du brouillard glacé à la station au moment de l'observation, la visibilité est inférieure à 5/8 de mille, le ciel est invisible et le brouillard dépose du givre blanc"
2025-01-Sam. 04,03:00,-4.3,-4.3,-4.7,SSE,1.9,--,3.7,97,1023.8(-1.7/3h),0.1,--,0/3h,"Il y a du brouillard ou du brouillard glacé à la station au moment de l'observation, la visibilité est inférieure à 5/8 de mille, le ciel est invisible et le brouillard dépose du givre blanc"
2025-01-Sam. 04,02:00,-3.8,-3.8,-4.1,E,1.9,--,5.6,98,1024.4(-1.4/3h),0.1,--,0/1h,"Il y a du brouillard ou du brouillard glacé à la station au moment de l'observation, la visibilité est inférieure à 5/8 de mille, le ciel est invisible et le brouillard dépose du givre blanc"
2025-01-Sam. 04,01:00,-3.1,-3.1,-3.4,SE,1.9,--,3.7,98,1025(-0.9/3h),0.1,--,0/1h,"Il y a du brouillard ou du brouillard glacé à la station au moment de l'observation, la visibilité est inférieure à 5/8 de mille, le ciel est invisible et le brouillard dépose du givre blanc"
2025-01-Sam. 04,00:00,-2.7,-2.7,-3.0,SSO,3.7,--,5.6,98,1025.5(-0.5/3h),0.1,--,0/3h0/6h,"Il y a du brouillard ou du brouillard glacé à la station au moment de l'observation, la visibilité est inférieure à 5/8 de mille, le ciel est invisible et le brouillard dépose du givre blanc"
2025-01-Dim. 05,23:00,12.1,10.7,8.4,SSO,13.0,--,27.8,78,993.3(-1.4/3h),15,7/8,0.2/1h,Il y a de la pluie faible et intermittente à la station au moment de l'observation
2025-01-Dim. 05,22:00,12.1,11.2,7.4,SSO,9.3,--,18.5,73,993.6(-1.9/3h),25,7/8,trace/1h,Il y a de la pluie faible et intermittente à la station au moment de l'observation
2025-01-Dim. 05,21:00,11.8,11.2,7.3,S,7.4,--,13.0,74,994.2(-1.8/3h),25,7/8,0/3h,--
2025-01-Dim. 05,20:00,11.7,11.5,7.6,S,5.6,--,13.0,76,994.7(-2.0/3h),25,7/8,0/1h,--
2025-01-Dim. 05,19:00,11.9,11.8,7.8,S,5.6,--,13.0,76,995.5(-1.2/3h),25,7/8,0/1h,--
2025-01-Dim. 05,18:00,12.0,11.5,8.1,S,7.4,--,13.0,77,996(-1.2/3h),30,8/8,0/3h0.2/12h,--
2025-01-Dim. 05,17:00,11.8,11.2,8.3,S,7.4,--,20.4,79,996.7(-0.7/3h),30,8/8,0/1h,--
2025-01-Dim. 05,16:00,12.2,10.9,8.3,SSO,13.0,--,20.4,77,996.7(-1.4/3h),30,7/8,0/1h,--
2025-01-Dim. 05,15:00,12.3,11,8.4,SSO,13.0,--,27.8,77,997.2(-1.5/3h),35,7/8,0/3h,--
2025-01-Dim. 05,14:00,12.4,10.7,8.5,SO,16.7,--,29.6,77,997.4(-2.5/3h),26,8/8,0/1h,--
2025-01-Dim. 05,13:00,12.4,10.9,8.7,SSO,14.8,--,29.6,78,998.1(-2.1/3h),26,8/8,0/1h,--
2025-01-Dim. 05,12:00,12.3,10.8,8.8,SSO,14.8,--,27.8,79,998.7(-2.0/3h),27,7/8,trace/3h0.2/6h,--
2025-01-Dim. 05,11:00,12.1,10.5,9.5,SSO,14.8,--,25.9,84,1000(-1.1/3h),26,8/8,0/1h,--
2025-01-Dim. 05,10:00,11.8,10.4,9.5,SSO,13.0,--,22.2,86,1000.3(-0.9/3h),23,7/8,trace/1h,--
2025-01-Dim. 05,09:00,11.0,9.4,9.4,SSO,13.0,--,31.5,90,1000.8(-0.6/3h),14,8/8,0.2/3h,--
2025-01-Dim. 05,08:00,10.9,9,9.5,SO,14.8,--,29.6,91,1001.1(-0.2/3h),14,8/8,trace/1h,Il y a de la pluie faible et intermittente à la station au moment de l'observation
2025-01-Dim. 05,07:00,10.9,9.3,9.8,SO,13.0,--,31.5,93,1001.2(-0.4/3h),18,8/8,0/1h,--
2025-01-Dim. 05,06:00,10.8,8.9,9.7,SO,14.8,--,33.3,93,1001.4(-0.8/3h),15,8/8,0.4/3h10/12h10.7/24h,--
2025-01-Dim. 05,05:00,10.6,8.7,9.8,SO,14.8,--,25.9,95,1001.3(-1.7/3h),11,8/8,trace/1h,--
2025-01-Dim. 05,04:00,10.3,8.3,9.7,SO,14.8,--,25.9,96,1001.6(-2.0/3h),4.4,8/8,0.4/1h,Il y a une bruine modérée et intermittente à la station au moment de l'observation
2025-01-Dim. 05,03:00,10.2,8.2,9.6,SO,14.8,--,27.8,96,1002.2(-2.4/3h),9,8/8,3/3h,Il y a de la pluie faible et continue à la station au moment de l'observation
2025-01-Dim. 05,02:00,7.7,5.7,7.7,SO,11.1,--,16.7,100,1003.2(-2.6/3h),8,8/8,0.8/1h,Il y a de la pluie faible et continue à la station au moment de l'observation
2025-01-Dim. 05,01:00,2.4,0.3,2.3,S,7.4,--,9.3,99,1004(-3.2/3h),2.4,8/8,2/1h,Il y a de la pluie faible et continue à la station au moment de l'observation
2025-01-Dim. 05,00:00,1.4,1.4,1.3,S,3.7,--,9.3,99,1005(-3.4/3h),2.2,8/8,5/3h7/6h,Il y a de la pluie modérée et continue à la station au moment de l'observation
2025-01-Lun. 06,23:00,5.6,3.2,2.2,SO,11.1,--,20.4,79,1001.6(1.9/3h),20,2/8,0/1h,--
2025-01-Lun. 06,22:00,5.9,3.2,2.9,OSO,13.0,--,24.1,81,1000.8(1.6/3h),20,3/8,0/1h,--
2025-01-Lun. 06,21:00,6.1,3.4,2.9,SO,13.0,--,22.2,80,1000.1(1.0/3h),20,2/8,0/3h,--
2025-01-Lun. 06,20:00,6.8,4.3,2.7,SO,13.0,--,27.8,75,999.7(1.1/3h),20,2/8,0/1h,--
2025-01-Lun. 06,19:00,6.9,4.7,2.2,SSO,11.1,--,24.1,72,999.2(1.4/3h),35,0/8,0/1h,--
2025-01-Lun. 06,18:00,7.1,5,2.4,SO,11.1,--,22.2,72,999.1(2.5/3h),30,--,0/3h1/12h,Ciel clair
2025-01-Lun. 06,17:00,7.5,5.4,2.8,SO,11.1,--,20.4,72,998.5(3.1/3h),35,7/8,0/1h,"Il y a eu une averse de pluie à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation"
2025-01-Lun. 06,16:00,7.9,5.9,2.6,OSO,11.1,--,25.9,69,997.7(3.9/3h),20,7/8,0/1h,"Il y a eu une averse de pluie à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation"
2025-01-Lun. 06,15:00,8.7,6.3,2.9,OSO,14.8,--,27.8,67,996.5(4.3/3h),20,7/8,0.2/3h,"Il y a eu une averse de pluie à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation"
2025-01-Lun. 06,14:00,7.8,5.5,3.8,O,13.0,--,31.5,76,995.4(5.3/3h),20,7/8,0.2/1h,"Il y a eu une averse de pluie à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation"
2025-01-Lun. 06,13:00,9.5,6.7,4.1,OSO,20.4,--,33.3,69,993.7(7.2/3h),20,7/8,0/1h,--
2025-01-Lun. 06,12:00,9.6,7,5.4,OSO,18.5,--,29.6,75,992.1(6.7/3h),24,8/8,0.8/3h1/6h,Ciel clair
2025-01-Lun. 06,11:00,8.9,6.3,6.3,O,16.7,--,42.6,84,990(3.5/3h),15,7/8,0.6/1h,Il y a des averses de pluie faibles à la station au moment de l'observation
2025-01-Lun. 06,10:00,11.6,8.9,8.6,SO,25.9,--,48.2,82,986.3(-0.3/3h),10,7/8,0.2/1h,Il y a des averses de pluie faibles à la station au moment de l'observation
2025-01-Lun. 06,09:00,11.3,9.5,8.7,S,14.8,--,29.6,84,985.2(-2.0/3h),25,7/8,0.2/3h,"Il y a eu une averse de pluie à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation"
2025-01-Lun. 06,08:00,11.6,9.7,8.1,S,16.7,--,35.2,79,986.3(-1.8/3h),25,7/8,trace/1h,"Il y a eu une averse de pluie à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation"
2025-01-Lun. 06,07:00,11.8,10.2,7.7,S,14.8,--,33.3,76,986.6(-2.2/3h),25,7/8,0/1h,"Il y a eu une averse de pluie à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation"
2025-01-Lun. 06,06:00,11.6,9.9,7.9,S,14.8,--,27.8,78,987.2(-2.4/3h),25,7/8,0.2/3h0.4/12h0.6/24h,"Il y a eu une averse de pluie à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation"
2025-01-Lun. 06,05:00,11.6,9.7,7.7,SSO,16.7,--,29.6,77,988.2(-2.7/3h),15,7/8,trace/1h,Il y a des averses de pluie faibles à la station au moment de l'observation
2025-01-Lun. 06,04:00,12.3,11,7.0,SSO,13.0,--,24.1,70,988.8(-2.5/3h),25,7/8,0/1h,--
2025-01-Lun. 06,03:00,12.0,10.9,7.1,S,11.1,--,24.1,72,989.7(-2.7/3h),25,7/8,trace/3h,--
2025-01-Lun. 06,02:00,12.3,11.2,7.6,SSO,11.1,--,24.1,73,990.9(-2.4/3h),40,7/8,trace/1h,--
2025-01-Lun. 06,01:00,11.9,10.7,8.0,S,11.1,--,22.2,77,991.4(-2.2/3h),40,8/8,trace/1h,--
2025-01-Lun. 06,00:00,11.7,10.5,8.2,SSO,11.1,--,25.9,79,992.4(-1.8/3h),26,8/8,0.2/3h0.2/6h,Il y a de la pluie faible et intermittente à la station au moment de l'observation
2025-01-Mar. 07,23:00,5.8,5.8,3.3,SSO,3.7,--,7.4,84,1006.2(0.1/3h),23,8/8,0/1h,--
2025-01-Mar. 07,22:00,5.8,5.8,3.3,S,3.7,--,9.3,84,1006.3(-0.2/3h),19,8/8,0/1h,--
2025-01-Mar. 07,21:00,5.8,4.8,3.1,SO,5.6,--,9.3,83,1006.5(-0.1/3h),26,8/8,0/3h,--
2025-01-Mar. 07,20:00,5.7,4.7,3.0,SSO,5.6,--,11.1,83,1006.1(-0.6/3h),30,7/8,0/1h,--
2025-01-Mar. 07,19:00,5.6,4,2.9,SO,7.4,--,13.0,83,1006.5(0.2/3h),30,7/8,0/1h,--
2025-01-Mar. 07,18:00,5.6,4,2.6,SO,7.4,--,13.0,81,1006.6(0.4/3h),20,6/8,0/3h0/12h,--
2025-01-Mar. 07,17:00,5.9,4.3,2.2,SO,7.4,--,14.8,77,1006.7(0.5/3h),40,8/8,0/1h,--
2025-01-Mar. 07,16:00,6.2,4.7,1.7,SO,7.4,--,20.4,73,1006.3(-0.1/3h),20,5/8,0/1h,--
2025-01-Mar. 07,15:00,6.7,4.8,1.8,SO,9.3,--,20.4,71,1006.1(-0.3/3h),20,4/8,0/3h,--
